gene,D,chronos_hct116,pan_essentiality,CRA,CR,halflife_h,ZC,is_mito,E,L,R,F,Zc_dev,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank,apop_rank
ERBB3,0.1846422338568935,0.1190088516370787,0.0794701986754966,2.0,0.0,6.69,-0.068869241507678,False,0.10955119455333734,2.0,0.0,1.0,0.04747314335256855,0.025447027246076868,0.13267072064127888,0.06666666666666667,0.0,1.0,0.11858624694081243,0.11336463671324735,1036,24
WEE1,0.1830219146482122,-2.2842092731889254,1.0,3.0,0.0,3.78,-0.0553588670743482,False,0.0,3.0,0.0,1.0,0.06098351778589835,0.0,0.13126587295662,0.1,0.0,1.0,0.15234029878901453,0.11199677682643673,1085,25
MADD,0.0592228571428571,0.07910578743495,0.0016556291390728,12.0,5.08417,,-0.1075776397515528,False,0.0789748175882034,12.0,5.08417,0.0,0.008764745108693753,0.018344613612976256,0.0239297268642149,0.4,0.2542085,0.0,0.02187795156882501,0.1119074747215986,1086,26
RETSAT,0.1308228571428571,-0.2467187989385216,0.0091059602649006,6.0,3.53859,,-0.2053482997689006,False,0.24447218735878343,6.0,3.53859,0.0,0.08900591490865405,0.05678706140988814,0.08600829365688835,0.2,0.17692950000000002,0.0,0.22235090064613006,0.11049557655233944,1121,27
RARA,0.1508961593172119,0.0873127512090164,0.0082781456953642,4.0,0.0,6.43,-0.1321942446043165,False,0.08658996353344507,4.0,0.0,1.0,0.015851859744069954,0.02011349278532585,0.10341222982700289,0.13333333333333333,0.0,1.0,0.03958425838046249,0.10903692970272176,1167,28
CTNNB1,0.0668228571428571,-0.6834794185145845,0.1233443708609271,8.0,2.0529,,-0.1130458076613983,False,0.5991760796415108,8.0,2.0529,0.0,0.0032965771988482523,0.13917922197015933,0.03051907194276683,0.26666666666666666,0.10264500000000001,0.0,0.008216389185456653,0.10671705763315067,1227,29
BTG3,0.1493205128205128,-0.0561012680231063,0.0008278145695364,0.0,2.19476,1.15,-0.1329258976317799,False,0.0560548265760673,0.0,2.19476,1.0,0.016583512771533346,0.013020658560330084,0.10204611423640267,0.0,0.109738,1.0,0.041412205810473626,0.1030513421295435,1331,30
CDKN1B,0.2382866043613707,-0.2747347217121193,0.0082781456953642,0.0,0.0,,0.0427807486631016,False,0.27246042765821105,0.0,0.0,0.0,0.15912313352334814,0.06328829141813348,0.1791814139012385,0.0,0.0,0.0,0.3975303706342756,0.09261743012752538,1711,31
TNFRSF12A,0.2269467455621301,-0.1947742408347253,0.0273178807947019,0.0,2.78354,,-0.1685575364667747,False,0.18945342134172372,0.0,2.78354,0.0,0.05221515160652816,0.044007063495762284,0.1693495398525214,0.0,0.139177,0.0,0.13043358642489702,0.09140521032572994,1773,32
F2,0.1832914285714285,-0.1224353987025792,0.0140728476821192,3.0,2.82854,,-0.0587084148727984,False,0.12071238398573826,3.0,2.82854,0.0,0.057633969987448144,0.028039596799909076,0.13149954667287614,0.1,0.141427,0.0,0.14397185492279563,0.09127438578797534,1776,33
IL18,0.0765371428571428,-0.3999032718726781,0.0273178807947019,4.0,4.16148,,-0.1182466870540265,False,0.388978761962249,4.0,4.16148,0.0,0.001904302193779947,0.09035367614343423,0.038941543095803124,0.13333333333333333,0.208074,0.0,0.004737956893299303,0.09023656361643617,1817,34
PTK2,0.0424,-0.211140342954777,0.5248344370860927,12.0,2.47196,,-0.1302043906131718,False,0.10032661991394205,12.0,2.47196,0.0,0.013862005752925247,0.023304302986982873,0.009343988585074429,0.4,0.12359800000000001,0.0,0.03461284658733304,0.09006482980098385,1821,35
DAP,0.2470464135021096,-0.377201169548682,0.0165562913907284,0.0,0.0,,-0.0533880903490759,False,0.3709561170727104,0.0,0.0,0.0,0.06295429451117066,0.08616729791706843,0.18677633564473614,0.0,0.0,0.0,0.15726404831900268,0.0897462924844915,1839,36
IGFBP6,0.2202233902759526,-0.2486332401599643,0.0024834437086092,0.0,0.0,,0.043560606060606,False,0.24801577350393791,0.0,0.0,0.0,0.15990299092085256,0.05761018098929778,0.16352026247537277,0.0,0.0,0.0,0.3994787509074847,0.08631307058477539,2006,37
CASP2,0.1342971428571428,0.1381744518697093,0.0,3.0,4.49997,11.81,-0.1246077991931869,False,0.1381744518697093,3.0,4.49997,0.0,0.008265414332940355,0.032095761764864436,0.0890205656927978,0.1,0.22499850000000002,0.0,0.0206304334502595,0.08611619490981165,2013,38
FAS,0.1457028571428571,-0.320854219058017,0.0016556291390728,2.0,2.76802,,-0.0985828712261244,False,0.3203230034635501,2.0,2.76802,0.0,0.017759513634122148,0.07440601839091325,0.0989095377054216,0.06666666666666667,0.138401,0.0,0.0443503030693791,0.0849723319823694,2064,39
SLC20A1,0.14984,-0.1403252953394339,0.1506622516556291,0.0,4.13621,,-0.216021602160216,False,0.11918357037935362,0.0,4.13621,0.0,0.09967921729996944,0.027684477335858854,0.10249651953765593,0.0,0.2068105,0.0,0.24901686790601799,0.08252671745735532,2199,40
F2R,0.1835874439461883,-0.1089990729964062,0.0223509933774834,1.0,1.9194,,-0.2417279411764706,False,0.1065628354377117,1.0,1.9194,0.0,0.12538555631622406,0.02475287821240874,0.1317561976535142,0.03333333333333333,0.09597,0.0,0.31324107607019286,0.08201027656328652,2226,41
CASP7,0.0617942857142857,-0.1253275863661389,0.0008278145695364,9.0,2.26971,,-0.0930232558139534,False,0.12522383836418016,9.0,2.26971,0.0,0.023319129046293144,0.029087537015948888,0.026159204522371592,0.3,0.11348549999999999,0.0,0.05824033608101283,0.0815088642655468,2259,42
ETF1,0.0664342857142857,-2.127740451280313,0.9991721854304636,5.0,5.32539,,-0.1660583941605839,False,0.0017613745457617984,5.0,5.32539,0.0,0.04971600930033736,0.00040913972904900025,0.0301821730966454,0.16666666666666666,0.2662695,0.0,0.12418977879428872,0.08032730778742275,2323,43
IFNGR1,0.220622009569378,-0.2411070579135054,0.0016556291390728,2.0,0.0,,-0.1490066225165563,False,0.24070787404278768,2.0,0.0,0.0,0.032664237656309755,0.055912670364628686,0.16386587301212915,0.06666666666666667,0.0,0.0,0.08158797030878143,0.0800129615284664,2340,44
GSN,0.1037142857142857,0.1791236184142515,0.0024834437086092,4.0,3.52738,,-0.0993690851735015,False,0.17867877499103732,4.0,3.52738,0.0,0.016973299686745047,0.041504281847687535,0.0625046447451212,0.13333333333333333,0.176369,0.0,0.04238604171788925,0.07977733006373708,2358,45
DNAJA1,0.1095953757225433,-0.4693243839960112,0.3874172185430463,2.0,3.45225,19.14,-0.0882956878850102,False,0.287500036553848,2.0,3.45225,0.0,0.028046696975236346,0.06678175708866327,0.06760366204807292,0.06666666666666667,0.1726125,0.0,0.07005159814313447,0.07971008064817758,2365,46
JUN,0.3059230769230769,-0.1001908039610776,0.1879139072847682,0.0,0.0,,-0.1068211068211068,False,0.08136355851474927,0.0,0.0,0.0,0.009521278039139741,0.018899480729573846,0.23782352674401366,0.0,0.0,0.0,0.023768058455585255,0.07820530516485551,2457,47
BCL10,0.0976342857142857,-0.4289261720018621,0.0173841059602649,0.0,3.71298,31.17,-0.1003521126760563,False,0.421469673978651,0.0,3.71298,0.0,0.015990272184190246,0.09790080629297107,0.05723316868227965,0.0,0.185649,0.0,0.039930065278954575,0.07638404575652294,2591,48
