pathway,n_genes,E_raw,D_raw,L_raw,R_raw,F_raw,Zc_raw,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank
Pi3K Akt Mtor Signaling,84,0.1585463661451501,0.08717062459802111,0.7738095238095238,0.14285714285714285,0.047619047619047616,0.04386944294193852,0.6494148953478724,0.16476452673084085,0.8203125,0.05030181086519113,0.2118106393362616,0.30032181356396775,0.4004525958984041,32
Kras Signaling Dn,53,0.10902232852004556,0.16935958685193342,0.4528301886792453,0.3076923076923077,0.03773584905660377,0.03781942344229272,0.07068999475359133,0.9537400395151684,0.0830630896226415,0.3927410617551463,0.15842979087820105,0.14085336068341733,0.3936637905653769,33
Inflammatory Response,69,0.12729876545165836,0.14461178552194956,0.4927536231884058,0.21052631578947367,0.057971014492753624,0.0471237626977997,0.28426363805248894,0.7161727469109934,0.1747622282608696,0.19088213491475164,0.2677233857449021,0.3861002704228548,0.3876687527737757,34
Wnt Beta Catenin Signaling,28,0.12468107900591796,0.11995924833919498,0.5357142857142857,0.23809523809523808,0.17857142857142858,0.06309845049085859,0.2536740415505638,0.4795199454665679,0.27343749999999994,0.24815560026827632,0.9191068814055637,0.8071664748802216,0.38451082895967026,35
Hedgehog Signaling,19,0.1188573153752626,0.1399120524036828,0.7368421052631579,0.125,0.05263157894736842,0.03424231602670467,0.18561906885732113,0.6710575119056079,0.7354029605263157,0.01320422535211267,0.23888417970255066,0.04656675790721683,0.3835665989911313,36
Mitotic Spindle,194,0.13813409385053818,0.09347600568672003,0.8041237113402062,0.19135802469135801,0.12371134020618557,0.03247563560631471,0.41088244078454667,0.22529322962877804,0.8899403994845362,0.15106068509824377,0.6227981464430726,0.0,0.3781427711335681,37
Uv Response Up,118,0.12712360353622842,0.11549697030521551,0.635593220338983,0.296875,0.05084745762711865,0.04608734823474764,0.28221674189950435,0.4366841679668026,0.5028469279661016,0.37026848591549294,0.22924783482641392,0.35878210872509253,0.3760390822197065,38
Il6 Jak Stat3 Signaling,35,0.12618408236997694,0.14280544306725101,0.5428571428571428,0.16666666666666666,0.08571428571428572,0.03412359972222782,0.2712377442325312,0.6988327060420378,0.2898437499999999,0.09976525821596242,0.4175695461200586,0.04343759354539482,0.37251284329803774,39
Unfolded Protein Response,103,0.14357664388737496,0.09551459695425372,0.6893203883495146,0.16901408450704225,0.038834951456310676,0.05162035125077891,0.474482651512339,0.24486275023777548,0.6262515169902914,0.10464193612378496,0.1643662312186385,0.5046228668915056,0.35888709339765296,40
Angiogenesis,17,0.10322643516740942,0.1472736385329931,0.5294117647058824,0.2222222222222222,0.17647058823529413,0.0459262901054364,0.0029607068116265386,0.7417252881130162,0.25896139705882354,0.21517996870109546,0.9077598828696927,0.3545368842747246,0.3576418416986015,41
Apical Junction,119,0.13434452438076075,0.09863172976767856,0.7647058823529411,0.20512820512820512,0.008403361344537815,0.0376408862103267,0.36659852695478373,0.27478576413702505,0.7994025735294117,0.1796677500902853,0.0,0.1361474161546659,0.3460832066782305,42
Bile Acid Metabolism,59,0.12508689845242787,0.1078940607007069,0.7457627118644068,0.16216216216216217,0.03389830508474576,0.051510152653417816,0.25841634105002187,0.3636997995142792,0.7558924788135594,0.09040730871716789,0.1377025585031144,0.5017182151243816,0.3455508489802742,43
Fatty Acid Metabolism,120,0.12353697028982831,0.09554097217639092,0.825,0.2235294117647059,0.016666666666666666,0.04006241747437591,0.24030428749294244,0.24511594000729958,0.9378906249999999,0.21789560894780452,0.04463152757442655,0.19997495328945017,0.3312243273854371,44
Reactive Oxygen Species Pathway,41,0.11929776659604241,0.09899614961887271,0.7073170731707317,0.3448275862068966,0.024390243902439025,0.043503617717839324,0.1907660661779356,0.27828402389210555,0.6675876524390243,0.4698882952889753,0.08634789129736102,0.29067926902089725,0.3301877771961252,45
Protein Secretion,88,0.1554856113886722,0.07453854337272298,0.7159090909090909,0.13559322033898305,0.011363636363636364,0.04451280040304329,0.6136477188992335,0.04350246806811022,0.6873224431818182,0.0352112676056338,0.015988952482363906,0.3172796463407948,0.3221885426494788,46
Peroxisome,80,0.1271671056769174,0.09785576208858968,0.775,0.11864406779661017,0.025,0.05075537556237493,0.2827250964936199,0.2673368381410763,0.8230468750000001,0.0,0.08964128843338216,0.48182354619226686,0.3170488533716913,47
Myc Targets V2,56,0.12364094976324812,0.0801247021212362,0.8214285714285714,0.1875,0.07142857142857142,0.04835770372122931,0.24151936431834692,0.09712697362503586,0.9296874999999999,0.14304577464788734,0.3404099560761347,0.41862490376720723,0.300455635572365,48
Pancreas Beta Cells,12,0.10297307445079722,0.08950369600411802,0.4166666666666667,0.6,0.08333333333333333,0.05607259078184182,0.0,0.18716091863686157,0.0,1.0,0.40470961444607123,0.6219764968944825,0.2574825811580862,49
Dna Repair,135,0.10726005022461023,0.08260169895333028,0.7407407407407407,0.2079207920792079,0.037037037037037035,0.04593733230674879,0.05009647329910714,0.12090498215772734,0.7443576388888887,0.18546925115046714,0.15465538745187354,0.35482793833823395,0.21624863643245912,50
