Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Csnk2a2,O54833,0.5938502191924072,0.5542094227907782,290132732.0,437888416.0,426020392.0
Hmgb3,O54879,-0.4210689656147905,-0.7414251173675276,481999344.0,359991344.0,288307040.0
Akap2,O54931,,,,,
Smarce1,O54941,0.5699583652628173,0.780770901067961,238108484.0,353467456.0,409081962.6666667
Dnajb6,O54946,,,,,
Prkag1,O54950,2.2204119972512,1.8830189882682202,26687466.0,124370664.0,98435678.0
Pole2,O54956,,,,,
Banf1,O54962,0.6426849627848922,1.1127521874181654,1630858432.5,2546148415.0,3526858612.5
Get3,O54984,0.511636132811938,0.0992088918908566,450472616.0,642223537.5,482539920.0
Slk,O54988,0.015527074596250162,,183343872.0,185327776.0,
Trappc3,O55013,,,,,
Pgrmc1,O55022,0.6415874927699261,1.1580964736258952,702286000.0,1095597647.5,1567241010.0
Impa1,O55023,,,,,
Copb2,O55029,0.1388358115745481,0.007635540499127971,817215042.5,899767072.5,821551662.5
Impact,O55091,,,,,
Stk10,O55098,,,,,
Syngr2,O55101,,,,,
Strn,O55106,,,233620101.33333334,,
Nipsnap1,O55125,,,,192928072.0,222413792.0
Nipsnap2,O55126,,,,,
Sap18,O55128,-0.02201064875496679,0.23220412509738605,548590262.5,540284152.5,644389568.5
Septin7,O55131,0.06472599675800288,0.07932072074562775,854490847.5,893700255.0,902787072.5
Eif6,O55135,-0.04728511858659822,-0.12398716544914103,1298446207.5,1256578785.0,1191516625.0
Rpl35a,O55142,0.5676002836351753,0.4896206878061408,1528654272.5,2265551742.5,2146346270.0
Atp2a2,O55143,0.35733174336307244,0.4413152561184518,775915600.0,993990095.0,1053570527.5
Supt5h,O55201,0.7576656277526561,,79377680.0,134208024.0,
Ilk,O55222,-0.2399561884346949,-0.797980900435912,502651152.0,425630432.0,289101600.0
Psmb5,O55234,0.11537101055483208,-0.31081810379896263,831229825.0,900432687.5,670124575.5
Sigmar1,O55242,,,,,
Aurkb,O70126,0.23402970967650388,,242522704.0,285234704.0,
Dhx9,O70133,0.44492646542832254,0.419480646150241,1765025982.5,2402632320.0,2360626945.0
Dpm1,O70152,,,,,
Eif3d,O70194,0.055441646081757445,-0.12676165559737426,872116770.0,906283840.0,798758655.0
Birc5,O70201,,,,,
Eef1b,O70251,0.018514882242622956,-0.00956992491360406,9045398250.0,9162230800.0,8985595375.0
Hmox2,O70252,0.5475534019578011,0.8265388304580775,324503000.0,474295183.5,575481937.0
Ess2,O70279,,,,,
Grk6,O70293,,,,,
Atxn2,O70305,,,,,
Itgb5,O70309,,,,,
Nmt1,O70310,-0.05980182235198664,-0.5058159771236898,1052581792.5,1009842655.0,741293295.0
Nmt2,O70311,0.35677667910311145,,272069674.6666667,348401984.0,
Epb41l2,O70318,0.34664188875059937,0.29798197643155855,575348952.5,731612190.0,707347527.5
Emc8,O70378,0.1522707158265423,0.5191451243158743,317298120.0,352618872.0,454721777.0
Pdlim1,O70400,-0.12320391441049944,-0.05479402315458231,1327896705.0,1219203552.5,1278408497.5
Vamp8,O70404,,,,,
Fhl2,O70433,-0.19161323093573224,0.553143322617661,182306976.0,159632736.0,267495216.0
Psma3,O70435,0.3717097794803002,0.2303555753360007,731723442.5,946766237.5,858402367.5
Stx7,O70439,,,,,
Ugdh,O70475,0.2546009171934949,0.10554004712587087,791293650.0,944017822.5,851350510.0
Snx3,O70492,0.01303138839311443,-0.001841697103625221,1171198785.0,1181825760.0,1169704625.0
Snx12,O70493,-0.24369606611642222,-0.5225614039229087,486015952.0,410478768.0,338332616.0
Sp3,O70494,,,,,
Hsd17b12,O70503,0.454769907146902,0.5580312650697623,1079777010.0,1479903712.5,1589711170.0
Srpk1,O70551,0.04885249337997087,0.08347607301417113,529150560.0,547375463.5,560670959.5
Cask,O70589,,,,,
Pfdn2,O70591,-0.21877394440047698,-0.09665025831436655,776718032.5,667430222.5,726388167.5
Col5a1,O88207,-1.065189052879188,-0.5320093071659846,1052675392.5,503084127.0,728020672.5
Cfdp1,O88271,0.06543462773609063,-0.001989520526936108,636622275.0,666161632.5,635744958.5
Wiz,O88286,0.07321676481470155,0.22427865846502812,237655440.0,250027744.0,277627424.0
Znf326,O88291,,,,,
Wdr1,O88342,-0.26352526861635794,-0.6687502849327794,944983087.5,787218017.5,594442895.0
Ikbkb,O88351,,,,,
Baz1a,O88379,1.4903083113788245,1.812121841200363,119060116.0,334498216.0,418089568.0
Vti1b,O88384,,,,,
Avil,O88398,,,,,
Tulp3,O88413,,,,,
Mtx2,O88441,-0.0393352396851663,-0.16915418231962948,530324743.5,516060719.5,471651704.0
Klc1,O88447,0.09110264964973844,0.21542063999453287,302492192.0,322209840.0,351206256.0
Klc2,O88448,,,,,
Capns1,O88456,-0.13118445171979878,-0.23320749943820437,885099837.5,808168290.0,752991040.0
Igf2bp1,O88477,-0.0019458276208126604,-0.29899399321207354,1030537265.0,1029148270.0,837640255.0
Dync1i2,O88487,-0.3873558459687296,0.008760364314343318,267079312.0,204190024.0,268706010.6666667
Gmnn,O88513,,,,,
Shoc2,O88520,,,,,
Zfr,O88532,-0.20586202447679877,-0.15425811503788533,353262896.0,306286165.3333333,317440040.0
Cops3,O88543,0.014681938544843643,-0.25278202362210506,834770752.5,843309375.0,700603420.0
Cops4,O88544,0.12032427279239491,0.06843140714637728,433602096.0,471316439.5,454664744.0
Cops6,O88545,-0.10455031861885504,-0.047431069366852645,354861288.0,330054640.0,343384312.0
Hnrnpa2b1,O88569,-0.38189106065969863,-0.670665962151362,10399667200.0,7981026950.0,6533243875.0
Comt,O88587,,,,183280528.0,158931184.0
Gosr1,O88630,,,,,
Lamtor3,O88653,-0.055616120178541534,1.0131354252136822,221104848.0,212743424.0,446254304.0
Brd7,O88665,,,,,
Psmc3,O88685,0.2089475535170136,-0.03727965688020748,1547144832.5,1788259135.0,1507678272.5
Clpp,O88696,1.0053631519771653,1.3482090846543657,318755061.3333333,639884447.5,811537260.0
Orc4,O88708,,,,,
Ctbp1,O88712,0.18976657036743375,0.2721511525559237,238488560.0,272015080.0,288000480.0
Birc6,O88738,-0.007426028829156017,-0.11617611167697778,303155400.0,301598968.0,279700224.0
Tom1,O88746,,,,,
Rpp30,O88796,0.09762608167195333,0.05951055111653652,356357488.0,381306552.0,371364469.3333333
Stam2,O88811,-0.2548382880429471,-0.35981231599659114,300717320.0,252025493.33333334,234338768.0
Idh1,O88844,-0.37777642552458374,-0.49417956280281605,313119040.0,240983574.0,222303656.0
Ccnk,O88874,,,,,
Nfatc1,O88942,,,,,
Lin7c,O88952,-0.17717712710413527,0.10348220851225194,879722210.0,778054335.0,945141440.0
Yme1l1,O88967,-0.026324397040236383,-0.0015327156369184553,480199791.5,471517194.0,479689899.3333333
Gcat,O88986,0.04306001654754994,-0.17199663716505115,225230992.0,232054773.33333334,199918048.0
Cpd,O89001,,,,,
Lgmn,O89017,,,,,
Tpp1,O89023,,,,,
Mkln1,O89050,-0.48683669111826267,,184881152.0,131928976.0,
Itm2b,O89051,,,,,
Cope,O89079,0.5000733493295378,0.7151173270954533,172709752.0,244260892.0,283523216.0
Rbm3,O89086,-0.516058856827581,-0.8642111783831108,1884324252.5,1317669345.0,1035147292.5
Sp1,O89090,0.9040320150755682,,52187150.666666664,97657216.0,
Casp8,O89110,,,,,
Dhfr,P00375,0.20553282347656052,-0.11870214389119263,366070512.0,422120352.0,337156736.0
Mtco2,P00405,-0.30852241212095355,-0.2135907271895777,1116463327.5,901508782.5,962824752.5
Hprt1,P00493,0.5138500417586325,0.3139129712120609,383049720.0,546939671.0,476159408.0
Thy1,P01831,,,,,
