Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Gng5,Q80SZ7,0.36713498633865743,0.633811996236722,767908272.5,990439585.0,1191532160.0
Selenoi,Q80TA1,,,,,
Rpap1,Q80TE0,,,,,
Erbin,Q80TH2,,,,,
Mon2,Q80TL7,,,,,
Nisch,Q80TM9,-0.07643752914302418,-0.0830281460390544,396077536.0,375638608.0,373926504.0
Ubr5,Q80TP3,0.17227293584389725,-0.29061390099723566,575556593.0,648555810.0,470548650.0
Clasp1,Q80TV8,-0.11960729029673227,-0.22375341569187276,192257632.0,176961262.0,164636869.33333334
Pum2,Q80U58,,,,176312600.0,190587664.0
Scrib,Q80U72,,,,,
Nup214,Q80U93,-0.10222914538114294,-0.29979941207496114,490308404.0,456767608.0,398309552.0
Ube3c,Q80U95,,,243061280.0,,
Septin9,Q80UG5,-0.07274784168099988,0.041735187256794315,687960527.5,654130257.5,708152942.5
Rab3gap1,Q80UJ7,,,,,
Sestd1,Q80UK0,,,,134849794.66666666,178642448.0
Sass6,Q80UK7,,,1899067900.0,,
Ints2,Q80UK8,,,,,
Naa15,Q80UM3,0.04000759215114616,-0.2071862027406075,914324592.5,940034702.5,792010865.0
Mogs,Q80UM7,0.5759537628181246,0.5603218731246783,499326928.0,744327982.5,736306575.0
Rpp38,Q80UU2,,1.0517240180754484,223178696.0,,462650688.0
Pgrmc2,Q80UU9,0.4910422589752513,0.8812020468399531,332380496.0,467147448.0,612214737.5
Polr2e,Q80UW8,0.6258105186759415,0.7709196390144251,166912068.0,257558256.0,284811600.0
Carnmt1,Q80UY1,,,,,
Kcmf1,Q80UY2,,,,,
Sdad1,Q80UZ2,,0.6870342580571077,8041473033.333333,,12946534400.0
Bpnt2,Q80V26,,,,,
Ints8,Q80V86,,,,,
Fam98b,Q80VD1,0.26328710758485857,0.24500454398027416,165926916.0,199147178.66666666,196639408.0
Trim56,Q80VI1,,,,,
Sra1,Q80VJ2,0.024554556261988308,0.8774454174607221,283430588.0,288295840.0,520695840.0
Dnph1,Q80VJ3,,,,,
Dhx33,Q80VY9,,,,,
Ppp1r10,Q80W00,0.24798513319332943,0.9402781081421782,94957029.33333333,112765976.0,182212864.0
Agfg2,Q80WC7,0.18433147630147756,0.257520717331072,181239472.0,205940656.0,216657760.0
Kif20b,Q80WE4,,,,,
Mtdh,Q80WJ7,0.2952383643018412,0.1977203008337662,321483552.0,394488513.0,368704552.0
Chst2,Q80WV3,,,,,
Ddrgk1,Q80WW9,,,,37677348.0,74994408.0
Vrk1,Q80X41,-0.03871296660686891,0.6915918085517143,360110272.0,350575648.0,581601327.0
Ubap2l,Q80X50,-0.12370813026594409,-0.31852467139351975,668682977.5,613734320.0,536209849.5
Sympk,Q80X82,0.3306853141721993,0.13785527558254063,206993448.0,260317160.0,227748314.66666666
Mrps7,Q80X85,0.0001828076145937281,0.1840693732075867,217044408.0,217071912.0,246580656.0
Flnb,Q80X90,-0.17996652803519214,-0.058233160842398754,7569207550.0,6681517200.0,7269766900.0
Rraga,Q80X95,,,,,
Trmt61a,Q80XC2,,,,,
Atg2b,Q80XK6,,,,,
Nucks1,Q80XU3,-0.3607135127355147,0.15105676793418088,333659192.0,259846880.0,370489336.0
Glrx5,Q80Y14,0.8697921535285734,1.330628513050707,221624808.0,404997088.0,557413481.0
Ddx10,Q80Y44,,0.8347308308052296,193060453.33333334,,344328000.0
Rbsn,Q80Y56,,,,,
Elac2,Q80Y81,-0.16894117048864754,-0.9424753975128277,395549672.0,351839560.0,205820042.66666666
Med23,Q80YQ2,,,,,
Zc3hc1,Q80YV2,,,,,
Trrap,Q80YV3,,,,,
Mrps10,Q80ZK0,,,,,
Abitram,Q80ZQ9,,,,,
Mrps26,Q80ZS3,0.6214008538539919,0.45816457891043216,223279749.33333334,343486468.0,306740144.0
Rnaseh2b,Q80ZV0,,,,,
Ttc9c,Q810A3,,,,,
Ddx42,Q810A7,0.03288348957593028,0.04302258539412125,263883788.0,269967588.0,271871572.0
Ankfy1,Q810B6,1.0648386292411534,,311297312.0,651214015.0,
Grwd1,Q810D6,-0.03659463806723988,-0.20013154986524495,1202351790.0,1172237122.5,1046612590.0
Ccdc50,Q810U5,,,,,
Mphosph10,Q810V0,-0.07137138736890036,0.2663788491183306,242346240.0,230648884.0,291490436.0
Dlg1,Q811D0,,,,,
Mfn1,Q811U4,,,,193428480.0,193568544.0
Wdr82,Q8BFQ4,,,,,
Gns,Q8BFR4,0.5902313911441047,0.42296977344263686,272955541.3333333,410931344.0,365947264.0
Tufm,Q8BFR5,0.48039421812849964,0.6398803677626597,1090428975.0,1521284542.5,1699106367.5
Haus4,Q8BFT2,,,,,
Pcid2,Q8BFV2,,,,,
Lpp,Q8BFW7,-0.24113351366475855,0.948205495033996,199800536.0,169047296.0,385509376.0
Pef1,Q8BFY6,0.5217760556949873,0.7158262900045809,187727260.0,269524088.0,308327688.0
Pimreg,Q8BFY7,,,,,
Tnpo1,Q8BFY9,-0.01213943806945042,-0.07829540232596549,842202592.5,835145680.0,797714175.0
Actbl2,Q8BFZ3,-0.15698104599501098,0.10974365064349056,120257659000.0,107859087500.0,129762402000.0
Erlin2,Q8BFZ9,0.6095021571101732,0.9909514664773017,242626900.0,370183776.0,482219829.3333333
Hnrnpa3,Q8BG05,0.06090877351848548,-0.18742855135741235,2754686205.0,2873475522.5,2419081600.0
Nelfa,Q8BG30,,,,,
Psmd11,Q8BG32,0.05358711024144173,-0.1261126162892892,1367565215.0,1419316897.5,1253096062.5
Rhot1,Q8BG51,0.29769397726879676,0.8882893878031664,326890048.0,401806090.6666667,605066975.0
Poldip3,Q8BG81,0.0996247083833988,0.21741359775710345,440338568.0,471820440.0,511958479.0
Krr1,Q8BGA5,0.3180189042264088,0.15498359668161266,294671370.6666667,367342496.0,328089744.0
Ints15,Q8BGA7,,,,,
Oxa1l,Q8BGA9,,,,,
Enoph1,Q8BGB7,,,,,
Htatsf1,Q8BGC0,,,,14592085000.0,11650034700.0
Eif4b,Q8BGD9,-0.07684078055488844,-0.13806292999220895,2061840637.5,1954896257.5,1873673920.0
Atg4b,Q8BGE6,,,,,
Dnaaf10,Q8BGF3,,,,,
Samm50,Q8BGH2,0.6247804408142379,0.5055103372198729,308238020.0,475295672.0,437582536.0
Aars1,Q8BGQ7,-0.23363553001841883,-0.47221534067687215,1510675967.5,1284813282.5,1088981090.0
Mak16,Q8BGS0,-0.11996004071099538,0.15828683591680762,273663284.0,251828549.33333334,305397600.0
Bola2,Q8BGS2,,,,,
Cept1,Q8BGS7,,,,,
Gpt2,Q8BGT5,1.0060839396837318,1.062489591376636,2233341117.5,4485558300.0,4664405500.0
Smndc1,Q8BGT7,0.3034431452733284,,215717066.66666666,266213450.66666666,
Fto,Q8BGW1,,,,,
Cdc23,Q8BGZ4,,,,,
Pck2,Q8BH04,0.11454243218203665,0.5601549867923938,477105480.0,516529479.5,703457490.0
Cnot10,Q8BH15,,,,,
Tm9sf4,Q8BH24,,,,,
Wasf2,Q8BH43,,,,,
Tiprl,Q8BH58,,,,,
Slc25a12,Q8BH59,0.2905835665245917,0.4101024725854403,509922833.0,623704430.0,677575360.0
Gopc,Q8BH60,,,,,
Ehd2,Q8BH64,-0.028521565951942413,0.09649489893378065,267162932.0,261933082.66666666,285643312.0
Sephs1,Q8BH69,-0.4658041550503549,-0.16174237449756235,312050200.0,225945368.0,278955648.0
Nup107,Q8BH74,0.9504758576755468,0.7485120904332003,146816472.0,283724296.0,246660368.0
Echs1,Q8BH95,,,,448324680.0,540631327.5
Rcn3,Q8BH97,,1.0346343546554293,207371956.0,,424821022.0
Wdr3,Q8BHB4,0.619358702279911,0.45462789891938793,412005016.0,632918880.0,564623744.5
Dcakd,Q8BHC4,0.2011257157636241,0.5239320870883748,587472385.0,675355327.5,844708240.0
Ptbp3,Q8BHD7,,,,,
Nrdc,Q8BHG1,-0.12476077348418353,,655720095.0,601397693.3333334,
Cggbp1,Q8BHG9,0.022756723426230682,0.3709951478793717,280705844.0,285168736.0,363021312.0
Elovl5,Q8BHI7,,,,,
Ercc6l,Q8BHK9,1.0828850586401289,,145974828.0,309213792.0,
Gprc5a,Q8BHL4,,,,,
Psmf1,Q8BHL8,,,,,
Ganab,Q8BHN3,0.23225192012264084,0.42695680109211337,610024012.5,716575120.0,820113072.5
Rbm22,Q8BHS3,,,187131045.33333334,,
B3glct,Q8BHT6,,,,212665728.0,320201552.0
Haus1,Q8BHX1,,,,,
Noc4l,Q8BHY2,-0.011715061921528658,-0.07901629445214024,338254997.3333333,335519400.0,320227000.0
Cdkn2aip,Q8BI72,,,,,
Mia3,Q8BI84,0.3890759320597454,0.4734371108796971,2676602752.5,3505156766.6666665,3716230913.3333335
Fbxw8,Q8BIA4,,,,,
Cstf2,Q8BIQ5,0.1760860889216052,0.581220622100035,408761320.0,461824520.0,611553751.0
Prune1,Q8BIW1,-0.23804317593422858,,65594922.666666664,55617580.0,
Chtf18,Q8BIW9,0.9095639851241462,0.7572564775055506,107741208.0,202389456.0,182112080.0
Zc3h14,Q8BJ05,,,,,
Nup93,Q8BJ71,0.3781159403254555,0.43766552606557785,657440670.0,854438495.0,890444832.5
Zc2hc1a,Q8BJH1,,,261660458.66666666,,
Fbxo30,Q8BJL1,,,,,
Sun2,Q8BJS4,,,,171999632.0,275418240.0
Sgta,Q8BJU0,0.5230933954804341,0.5263306130684874,242071768.0,347865168.0,348646608.0
Nol11,Q8BJW5,0.34832466867722317,0.3947518261809943,346756416.0,441449144.0,455886410.0
Eif2a,Q8BJW6,-0.24180401088136258,-0.4893739269269167,634219022.5,536350887.5,451775872.0
Psmd5,Q8BJY1,-0.3940831723225878,-0.501446801127546,1077087890.0,819634607.5,760852750.0
Mrps35,Q8BJZ4,,,,,
Tmem11,Q8BK08,0.41876681305488717,0.6200941943039919,205209024.0,274320224.0,315401248.0
Nop53,Q8BK35,-0.1319404772983776,-0.5116251084569057,151874724.0,138601350.0,106529772.0
Csnk1a1,Q8BK63,0.32138502620139014,0.3545971774489739,313380144.0,391577752.0,400696789.3333333
Ahsa1,Q8BK64,0.005562486476847893,-0.26184343866437654,2244949695.0,2253622080.0,1872336417.5
Rcc2,Q8BK67,0.09167458620865206,-0.10878913056934597,1126498977.5,1200404465.0,1044676945.0
Mrps27,Q8BK72,0.11760061236484962,0.07904189462247802,264806604.0,287296360.0,279719532.0
Ipo5,Q8BKC5,-0.1786507961188995,-0.5157642159388443,1574520387.5,1391134240.0,1101254735.0
Cyp20a1,Q8BKE6,0.39449041302521276,0.9207927580625723,209375500.0,275219568.0,396380336.0
Pum3,Q8BKS9,0.38627077622910333,0.3056511064441893,597287375.0,780660895.0,738233053.5
Thoc5,Q8BKT7,,,,,
Baiap2,Q8BKX1,-0.08315187973054804,0.020935176627564916,428302016.0,404314120.0,434562488.0
Smg1,Q8BKX6,,,,,
Pdhx,Q8BKZ9,0.4335355708386096,0.864200096367002,168909164.0,228118456.0,307470436.0
Eea1,Q8BL66,-0.04939147102722909,1.3006149567262177,185763674.66666666,179511584.0,457598833.0
Srsf7,Q8BL97,0.060022279643189194,0.04031400388917264,2870241215.0,2992174400.0,2951577022.5
Nceh1,Q8BLF1,1.038280995996622,1.0211391944004904,78371604.0,160957960.0,159056808.0
Prss50,Q8BLH5,,,,,
Hirip3,Q8BLH7,,,,,
Lss,Q8BLN5,,,,,
Prpf18,Q8BM39,,,,,
Tmem214,Q8BM55,0.8490458776242371,0.960751797711321,191361048.0,344700424.0,372450576.0
Hspa13,Q8BM72,0.1605706159185885,,141600224.0,158270696.0,
Srp68,Q8BMA6,0.02900475324237483,0.010749007595866026,722669265.0,737345247.5,728073725.0
Eif4e2,Q8BMB3,0.7932034319288496,1.1007389454913856,127047488.0,220162885.33333334,272471776.0
Nop9,Q8BMC4,0.5460752094137299,0.1956836936164228,262076832.0,382660512.0,300147888.0
Slc25a24,Q8BMD8,0.5822036847810861,0.5172509992916566,397619232.0,595289407.5,569082785.0
Dlat,Q8BMF4,0.44940361893161895,0.6280335980202567,519602288.0,709504287.5,803023040.0
Rab3gap2,Q8BMG7,,,,,
Lars1,Q8BMJ2,-0.19260908478497676,-0.29808911203431043,1179125985.0,1031760977.5,959017310.0
Eif1ax,Q8BMJ3,-0.24788648729057833,-0.5719948542441056,1398101120.0,1177381792.5,940483055.0
Ckap4,Q8BMK4,0.20500928432641788,0.4827506772016999,1404813567.5,1619319840.0,1963094142.5
Qars1,Q8BML9,0.09827072945451218,-0.1175405717360986,453965648.0,485965488.0,418446320.0
Acbd3,Q8BMP6,,,,,
Gtf3c4,Q8BMQ2,,,,,
Hadha,Q8BMS1,0.5002864677881104,0.3261914497627854,692781327.5,979935310.0,868539520.0
Tsen34,Q8BMZ5,0.10303215696396585,0.14902898227090525,258385914.66666666,277513813.3333333,286504224.0
Armc6,Q8BNU0,-0.006192691817622228,0.8300221838262349,165320356.0,164612248.0,293892096.0
Trmt2a,Q8BNV1,,,,556867446.0,517549628.0
Ncs1,Q8BNY6,,,,,
Sfr1,Q8BP27,0.33328281764524903,0.906213361613839,280785088.0,353754656.0,526224960.0
NARS1,Q8BP47,0.023873437489642838,0.05327833477673186,1906364640.0,1938173247.5,1978082272.5
Metap1,Q8BP48,-0.04663005755197681,0.16351507471666868,731892495.0,708614847.5,819728880.0
Rpl24,Q8BP67,0.08017938931373578,0.015524441109977955,4708106125.0,4977171950.0,4759042312.5
Rbfox2,Q8BP71,,,,,
Rcn2,Q8BP92,0.1315734495754392,0.6568531557083396,378897648.0,415077760.0,597385135.5
Dpcd,Q8BPA8,,,,,
Sumf2,Q8BPG6,,,,,
Ppp1r18,Q8BQ30,0.21659081581575512,0.26296192073177116,302272860.0,351236376.0,362709208.0
Cnpy4,Q8BQ47,,,,,
Heatr3,Q8BQM4,-0.28602646974099655,-0.5675678784586495,549787854.5,450912832.0,370971192.0
Cpsf4,Q8BQZ5,,,,,
Scfd1,Q8BRF7,-0.24064337399838553,-0.7508011404571406,231283988.0,195751317.33333334,137445936.0
Tmem209,Q8BRG8,,,,,
Tmtc3,Q8BRH0,,,,254697600.0,271034816.0
Clasp2,Q8BRT1,,,,,
R3hcc1,Q8BSI6,-0.3776963688578527,,66142654.0,50907724.0,
Rps6kb1,Q8BSK8,,,,,
Phf23,Q8BSN5,,,,,
Ncaph2,Q8BSP2,,,,,
Asph,Q8BSY0,,,,252711740.0,275897348.0
Cep55,Q8BT07,0.625703613318432,0.891257375989537,268986069.3333333,415035594.6666667,498913198.0
Cpne3,Q8BT60,0.308285762741948,0.32675860667599893,531244752.0,657806127.5,666283095.5
Ankrd52,Q8BTI7,,,,,
Srrm2,Q8BTI8,0.0072289592718810455,0.12029219237129347,1327253022.5,1333920222.5,1442664287.5
Pik3cb,Q8BTI9,,,,,
Flna,Q8BTM8,-0.17558545051079827,-0.019070622299280287,4240797312.5,3754836480.0,4185108162.5
Nup54,Q8BTS4,0.407385854763206,1.2752966427309125,179649568.0,238265706.66666666,434839232.0
Utp25,Q8BTT6,,,,,
Cfap20,Q8BTU1,,,,,
Cpsf7,Q8BTV2,0.7672859263350509,0.02286118917519125,154878434.0,263613124.0,157352212.0
Exosc6,Q8BTW3,0.3502006228455963,0.7909784143341141,164734666.66666666,209993520.0,285031744.0
Anapc5,Q8BTZ4,,,,,
Gmppb,Q8BTZ7,,,,,
Pwp2,Q8BU03,0.5112566792147664,0.4017436505582996,354083360.0,504671888.0,467780816.0
Tox4,Q8BU11,,,,,
Sec62,Q8BU14,0.31365071449773807,0.3396268665800876,245748832.0,305428624.0,310977764.0
Iars1,Q8BU30,0.036436301470543726,-0.05808329933703896,837275452.5,858690737.5,804236062.5
Mrpl22,Q8BU88,,,,304654848.0,446522976.0
LRWD1,Q8BUI3,0.21209300887521873,-0.1813714945785395,215073748.0,249134436.0,189665850.66666666
Hook3,Q8BUK6,,0.06077338608378286,121991982.0,,127240656.0
Gphn,Q8BUV3,,,,,
Cops7b,Q8BV13,0.30155579233626306,1.049516458399201,64502440.0,79497502.0,133509472.0
Ldah,Q8BVA5,,,,,
Atp6v1h,Q8BVE3,,,,,
Pdcl3,Q8BVF2,-0.11866081880727519,0.03241520614182576,459118536.5,422867552.0,469551007.5
Dpp9,Q8BVG4,,,,,
Qdpr,Q8BVI4,0.011330095294580771,,316629568.0,319125984.0,
Ppme1,Q8BVQ5,1.0942844329400658,0.3064749482272087,355317016.0,758627260.0,439414272.0
Lrch3,Q8BVU0,,,,,
Rsl1d1,Q8BVY0,0.03149751950399386,0.22274944067579186,1316906142.5,1345973537.5,1536770752.5
Nob1,Q8BW10,-0.1283789172906064,-0.11462096914319753,315352200.0,288502752.0,291267156.0
Dnah3,Q8BW94,,,,195129088.0,291660640.0
Ptges2,Q8BWM0,0.22487957793195978,0.3936613087336611,141112800.0,164915664.0,185383156.0
Vps35l,Q8BWQ6,,,,,
Acaa2,Q8BWT1,,,,292417541.3333333,366899120.0
Larp4,Q8BWW4,-0.07643895855048133,-0.0666096132790574,1482274912.5,1405783167.5,1415393727.5
Pkn2,Q8BWW9,-0.7697454073047594,,157525062.0,92391752.0,
Etf1,Q8BWY3,-0.2523786447319895,-0.6285126556021698,1461667970.0,1227086527.5,945469597.5
Cip2a,Q8BWY9,0.20447905672755295,0.00898056576173918,418634144.0,482379648.0,421248208.0
Naa25,Q8BWZ3,0.2778852594347802,-0.26045037324119596,311737264.0,377955368.0,260246768.0
Kank2,Q8BX02,-0.6873642367197734,,862857963.3333334,535823872.0,
Pgam5,Q8BX10,0.7477049626462725,0.5887999138026638,230936064.0,387769263.0,347326720.0
Gemin5,Q8BX17,0.2559731397331889,0.24385677025125044,366568632.0,437734616.0,434073728.0
Golim4,Q8BXA1,0.09412613532286632,0.620108690822445,55770446.0,59530414.666666664,85718672.0
Clptm1l,Q8BXA5,,,,,
Commd2,Q8BXC6,,,,,
Bri3bp,Q8BXV2,0.5278144509470168,0.4227103051349494,516142488.0,744145042.5,691859792.5
Tmx3,Q8BXZ1,,-0.5114636838715345,245354928.0,,172119024.0
Hat1,Q8BY71,0.05116250061561446,-0.3751298794389651,578757217.5,599650040.5,446242648.0
Usp47,Q8BY87,-1.4402750283775458,,391081688.0,144112448.0,
Tbcd,Q8BYA0,-0.3016580318972638,,391941066.6666667,317989408.0,
Poglut1,Q8BYB9,,,,,
Ythdf3,Q8BYK6,0.3173735127259572,0.2235391830233291,125742356.0,156682517.33333334,146816069.33333334
Yars2,Q8BYL4,1.0842695679128567,0.6808057868468292,193065188.0,409356448.0,309490224.0
Tor1aip2,Q8BYU6,,,,,
Tigar,Q8BZA9,,,,,
Glmn,Q8BZM1,0.8197256527875502,,114881316.0,202773600.0,
Anapc2,Q8BZQ7,,,,,
Srek1,Q8BZX4,-0.6026862074218777,-0.20503032510885147,283246256.0,186525216.0,245721920.0
Map1s,Q8C052,0.0175275319268876,-0.22549532531785685,305204336.0,308934928.0,261041672.0
Farsa,Q8C0C7,-0.014462405617441117,-0.15537850330756545,570867377.5,565173262.5,512579975.0
Efl1,Q8C0D5,,,,,
Ing4,Q8C0D7,,,,,
Trim47,Q8C0E3,-0.21815894470672256,-0.20094442582283686,298279664.0,256419624.0,259497600.0
Agps,Q8C0I1,0.5705212974446581,0.5995515701715067,357319664.0,530641168.5,541427017.5
Gpat3,Q8C0N2,,,,,
Lnpep,Q8C129,,,,,
Ncaph,Q8C156,-0.2027661953705743,-0.5248776777509347,589690903.0,512372392.5,409845813.3333333
Cpne1,Q8C166,0.14025293209590373,-0.01599178571332426,420747304.0,463704896.0,416109216.0
Prepl,Q8C167,,,,,
Thop1,Q8C1A5,-0.40244286334293394,-0.5531539673954642,375070688.0,283769524.0,255621388.0
Septin11,Q8C1B7,-0.17612340217805167,-0.10303404011894146,2581940865.0,2285219200.0,2403975042.5
Iws1,Q8C1D8,,,138321682.0,,
Tmem120a,Q8C1E7,,,,,
Med19,Q8C1S0,,,,,
Ptcd1,Q8C2E4,,,,,
Washc5,Q8C2E7,,,,,
Rbm14,Q8C2Q3,0.16041886296617436,0.29426787342149174,687668370.0,768546127.5,843261952.5
Hgh1,Q8C3I8,-0.11797678590263071,,49965758.666666664,46042398.0,
Brat1,Q8C3R1,,,,,
,Q8C3W1,,,,,
Ccdc90b,Q8C3X2,,,,,
Lmf2,Q8C3X8,0.3360262962513007,0.2640178289790174,341381872.0,430917816.0,409937588.0
Unc119b,Q8C4B4,,,,,
Tbl3,Q8C4J7,0.6768303291890098,0.5716369577814256,306495520.0,489970984.0,455516383.5
Nelfb,Q8C4Y3,,,,140075356.0,288636352.0
Heatr5b,Q8C547,,,113736501.33333333,,
Rae1,Q8C570,,,203799416.0,,
Cnot2,Q8C5L3,,,,,
Rbm34,Q8C5L7,,,,,
Cwc22,Q8C5N3,0.229789913749558,-0.004237430036761019,378063669.3333333,443341720.0,376954864.0
Grsf1,Q8C5Q4,0.6002761950304417,0.3897949355491992,3093495742.5,4689760485.0,4053120265.0
Septin10,Q8C650,,,,,
Cfap36,Q8C6E0,,,,,
Vps52,Q8C754,-0.11813700466494419,,322125208.0,296798656.0,
Cstf2t,Q8C7E9,,,,,
Pcyox1l,Q8C7K6,,,,,
Uba6,Q8C7R4,0.6697374304476795,0.8652439566585467,141892540.0,225720300.0,258478216.0
Utp15,Q8C7V3,0.39261052782022426,0.5922511351802875,160929124.0,211262392.0,242616316.0
Emc1,Q8C7X2,0.826011559697453,0.8948862327874239,168428596.0,298586442.6666667,313186784.0
Myef2,Q8C854,0.1639619789943666,-0.028804470149263933,506582496.0,567554607.0,496568504.0
Uba3,Q8C878,-0.398519188718062,-0.39717680037602754,407189960.0,308909192.0,309196757.3333333
Ppfibp1,Q8C8U0,0.0953578453192531,0.40882007210984467,294154912.0,314254624.0,390519936.0
Immt,Q8CAQ8,0.3800290390638988,0.621760302545188,636605407.5,828457937.5,979577552.5
Acat2,Q8CAY6,-0.577510545442679,-1.1303083809166978,640050095.0,428909800.0,292386448.0
Abi1,Q8CBW3,,-0.019291607204453626,272694336.0,,269072160.0
Dctn4,Q8CBY8,,,,,
Cdan1,Q8CC12,0.5220697017278536,,3412362625.0,4900200120.0,
Vwa8,Q8CC88,,,,,
Vps53,Q8CCB4,,,,,
Prpf31,Q8CCF0,0.6254388256704232,,292090400.0,450602016.0,
Ufl1,Q8CCJ3,,,,,
Macroh2a2,Q8CCK0,,,,,
Nemf,Q8CCP0,-0.18212801781627982,-0.37374983795904815,262676344.0,231523440.0,202726746.66666666
Pabpn1,Q8CCS6,0.07025064514888725,-0.19377013886729652,1742980097.5,1829953185.0,1523918720.0
Riox2,Q8CD15,,,,,
Ttc27,Q8CD92,,,,,
Fhip2a,Q8CDM8,,,,,
Txnl1,Q8CDN6,-0.04036034859807503,-0.19141431737797307,1648468257.5,1602990370.0,1443640767.5
Trmt6,Q8CE96,,,223752709.33333334,,
Nup88,Q8CEC0,0.23261550626600375,0.2514632306935448,586959329.0,689655580.0,698724521.3333334
Rdh13,Q8CEE7,,,,,
Snx8,Q8CFD4,,0.6906114671692531,132323592.0,,213565968.0
Hpf1,Q8CFE2,,,,,
Slc38a2,Q8CFE6,0.2751828542754052,0.7762687175880865,268530501.3333333,324961504.0,459910994.0
Nedd4l,Q8CFI0,,,,,
Cdc34,Q8CFI2,,,,,
Polr2b,Q8CFI7,0.42790649880344334,,232221972.0,312403578.6666667,
Aqr,Q8CFQ3,0.3422894919148704,0.5463113797153301,207250560.0,262745397.33333334,302657768.0
Smc4,Q8CG47,0.13061204752184125,0.022240725108657988,2761042492.5,3022673472.5,2803936770.0
Smc2,Q8CG48,-0.08167624568497164,-0.06867399385541445,534191303.0,504788919.5,509358879.0
Akr7a2,Q8CG76,,,,,
Tns2,Q8CGB6,,,,,
Lsm14b,Q8CGC4,,,,,
Rbm28,Q8CGC6,0.22667376775445042,0.2985881774477728,384755752.0,450215792.0,473226568.0
Eprs1,Q8CGC7,-0.12273682441156454,-0.10095031925321551,1784073215.0,1638570785.0,1663503040.0
Tcerg1,Q8CGF7,-0.061094379359045096,-0.04104692617716423,776694050.0,744489775.0,754907295.0
Lonp1,Q8CGK3,0.4015289069710337,0.693674134835482,868825137.5,1147637215.0,1405235457.5
Ogt,Q8CGY8,0.10941500795482338,-0.28382417159247936,239685048.0,258570004.0,196879888.0
Cherp,Q8CGZ0,0.5485815117978128,0.5320882640785238,288703728.0,422271608.0,417471584.0
Sugp1,Q8CH02,,,,,
Ccar1,Q8CH18,0.2862186200966138,0.39338035554802053,348551320.0,425037376.0,457810784.0
Sltm,Q8CH25,0.03279274904444382,0.3490570567490781,249597344.0,255335712.0,317919088.0
Trim32,Q8CH72,,,,,
Gcc2,Q8CHG3,0.5688321057546546,0.30991685146019743,1194868032.5,1772374400.0,1481201730.0
Septin8,Q8CHH9,,,,,
Pym1,Q8CHP5,-1.0554280041949984,,212420404.0,102207024.0,
Pgp,Q8CHP8,0.0366520027308481,0.24968763050549594,580223024.0,595152566.0,689855966.0
Ints5,Q8CHT3,0.2431611688436386,,100627096.0,119100544.0,
Epn2,Q8CHU3,,,,,
Eif2b5,Q8CHW4,0.06078245086760883,-0.06384436097619715,251980400.0,262823444.0,241072512.0
Gatad2a,Q8CHY6,0.3383578909996859,0.6210430853024803,127983718.0,161811952.0,196837264.0
Cog3,Q8CI04,,,,,
Slain2,Q8CI08,,,,,
Gnl3,Q8CI11,0.3102394133529953,0.27583105171628736,413206288.0,512340032.0,500265256.5
Bag5,Q8CI32,,,,,
Cwf19l1,Q8CI33,,,,,
Pdlim5,Q8CI51,-0.3082383249285583,-0.034586244170554316,309262592.0,249768928.0,301936693.3333333
Bag4,Q8CI61,,,,,
Vps50,Q8CI71,,,,,
Pygb,Q8CI94,-0.033087364370959056,-0.09757539280143089,277653056.0,271357712.0,259495205.33333334
Fermt2,Q8CIB5,,,,,
Copa,Q8CIE6,-0.07417351105740029,-0.05096676339292459,851225295.0,808567105.0,821678637.5
Prmt5,Q8CIG8,0.1894277638795849,-0.24363462231247082,1507150595.0,1718620897.5,1272961650.0
Ppat,Q8CIH9,,,137835834.0,,
Cdc123,Q8CII2,,,167742760.0,,
Ints4,Q8CIM8,,,,,
Pak2,Q8CIN4,-0.15041393989294702,-0.14084018380651483,1565955295.0,1410913055.0,1420307040.0
Tbce,Q8CIV8,,,,,
Nradd,Q8CJ26,,,,,
Aspm,Q8CJ27,,,,,
Trip10,Q8CJ53,0.10213361352108329,-0.45430703538894185,310389208.0,333159264.0,226540872.0
Ahctf1,Q8CJF7,0.05257367072892102,-0.8868421745952183,232031248.0,240642720.0,125481696.0
Ago3,Q8CJF9,,,,,
Hmgcs1,Q8JZK9,0.009293961746705517,-0.38313247156263586,533836145.0,537286263.0,409330032.0
Cdc73,Q8JZM7,0.1671320101833882,0.21402951489889205,199369768.0,223857192.0,231253656.0
Acad9,Q8JZN5,0.2399778217303447,0.3772947982540728,284004812.0,335402442.6666667,368894984.0
Afg3l2,Q8JZQ2,0.5469435302014444,0.45289258162920226,140814266.66666666,205727840.0,192744018.66666666
Eif3b,Q8JZQ9,0.22915153931042637,5.8012100810694305e-06,2054164030.0,2407778915.0,2054172290.0
Acsl5,Q8JZR0,-1.0275761328855881,-1.0672804536564178,630640700.0,309350453.3333333,300952922.6666667
Slc25a1,Q8JZU2,0.5224708044749383,0.9527403717296875,274152448.0,393796192.0,530634592.0
Rbm17,Q8JZX4,0.5517861506911264,0.48664813344440094,164103268.0,240558890.66666666,229939146.66666666
Tma7,Q8K003,-0.06575651107004502,-0.8055622895671422,536538777.0,512632850.0,306974784.0
Aldh1l2,Q8K009,0.267261045729109,0.83175084120872,448966480.0,540340486.0,799090320.0
Fnbp1l,Q8K012,,,,,
