gene,n_sites,max_cr,n_engaged
FTSJ3,5,2.87241,0
FUBP1,3,3.10602,0
FUBP3,3,3.94475,0
FUCA2,3,2.13451,0
FUS,4,2.74109,0
FXR1,4,4.85888,1
FXR2,5,2.55874,0
FYCO1,5,3.00085,0
FZD6,7,5.48354,1
G3BP1,1,3.74342,0
G3BP2,1,1.40463,0
G6PC3,1,9.50518,1
G6PD,4,20.0,1
GABPA,8,3.19793,0
GABPB1,1,1.85518,0
GADD45GIP1,1,2.4752,0
GAK,11,3.00761,0
GALE,1,20.0,1
GALK1,4,20.0,2
GALM,1,1.50018,0
GALNT18,3,1.89926,0
GALNT2,2,1.95193,0
GALNT3,1,3.37643,0
GAMT,3,20.0,1
GAN,6,2.26706,0
GANAB,3,2.00816,0
GAPDH,3,2.79107,0
GAPVD1,11,3.84213,0
GAR1,3,3.28804,0
GAREM,2,3.39238,0
GARS,6,2.75616,0
GART,10,4.21691,1
GAS2L1,3,20.0,1
GAS2L3,1,1.27154,0
GATA6,2,3.68223,0
GATAD1,3,2.03083,0
GATAD2A,4,2.93849,0
GATAD2B,6,3.83985,0
GATSL1,1,1.94005,0
GBA,1,10.5995,1
GBA2,4,2.24541,0
GBE1,2,12.8081,2
GBF1,11,2.48029,0
GC,2,2.27628,0
GCA,4,1.59943,0
GCAT,2,1.44178,0
GCC2,6,2.80054,0
GCDH,3,2.95601,0
GCFC2,3,2.22229,0
GCLC,6,20.0,2
GCLM,5,3.47349,0
GCN1L1,24,6.45275,2
GDA,3,2.8517,0
GDAP2,2,2.03253,0
GDI1,1,2.02247,0
GDI2,4,2.49452,0
GDPD1,3,1.70614,0
GDPD3,1,2.26744,0
GEMIN2,1,3.16161,0
GEMIN4,12,3.30564,0
GEMIN5,25,6.69306,1
GEMIN6,1,1.78328,0
GEN1,1,1.51069,0
GET4,2,3.56859,0
GFER,4,2.70142,0
GFM1,6,6.60469,2
GFM2,4,2.49322,0
GFPT1,5,2.5751,0
GFPT2,2,2.53665,0
GGA2,1,5.75215,1
GGCX,3,1.67532,0
GGNBP2,12,2.75573,0
GGT7,2,1.31491,0
GHDC,1,2.65102,0
GID8,1,1.84039,0
GIGYF2,2,2.51498,0
GINS1,1,1.85051,0
GINS3,1,2.387,0
GIPC1,1,1.38443,0
GIT1,7,3.79578,0
GIT2,2,5.70973,2
GJB3,2,7.19514,1
GLA,6,2.37254,0
GLCCI1,1,1.94704,0
GLE1,2,1.95197,0
GLG1,1,2.63917,0
GLI4,2,2.26809,0
GLIPR2,1,1.99936,0
GLMN,6,2.70874,0
GLO1,2,1.62968,0
GLOD4,4,20.0,1
GLRX,4,6.93005,2
GLRX2,3,14.8397,2
GLRX3,2,1.35439,0
GLRX5,1,2.29757,0
GLS,8,20.0,1
GLUD1,3,1.8497,0
GLYR1,8,2.14383,0
GM2A,2,2.42081,0
GMEB1,3,2.73546,0
GMEB2,3,3.68222,0
GMIP,4,2.13195,0
GMPPA,1,4.27123,1
GMPPB,3,2.08973,0
GMPR,3,5.28692,1
GMPR2,5,5.20692,1
GMPS,10,3.61588,0
GNA11,1,2.67914,0
GNA13,1,1.56569,0
GNAI1,3,2.29026,0
GNAI2,7,20.0,1
GNAI3,4,3.72751,0
GNAS,1,1.7435,0
GNB1,9,2.92387,0
GNB1L,3,3.01079,0
GNB2,5,2.74465,0
GNB2L1,8,20.0,4
GNB4,2,2.08169,0
GNB5,3,2.13127,0
GNE,6,2.45102,0
GNL1,6,2.27439,0
GNL2,4,4.15995,1
GNL3,5,2.87082,0
GNL3L,9,4.30725,1
GNPAT,12,10.354,1
GNPDA1,1,1.93134,0
GNPNAT1,4,3.59618,0
GOLGA2,5,4.4565,1
GOLGA3,3,2.59205,0
GOLGA4,6,2.7055,0
GOLGB1,6,2.95265,0
GOLPH3,3,2.08792,0
GON4L,7,2.24658,0
GOPC,4,1.60748,0
GORASP2,1,1.53751,0
GOSR2,1,2.16514,0
GOT1,1,1.68267,0
GOT2,5,2.01825,0
GPAA1,1,1.87089,0
GPAM,4,2.62787,0
GPAT2,12,6.12961,7
GPATCH2,2,2.46954,0
GPATCH4,2,3.07845,0
GPATCH8,4,4.55362,1
GPC1,2,1.80526,0
GPCPD1,3,2.95495,0
GPD1L,4,2.85026,0
GPD2,4,2.41084,0
GPHN,7,2.55201,0
GPI,1,1.88654,0
GPKOW,1,4.20963,1
GPN1,1,1.20481,0
GPN2,2,2.89561,0
GPN3,3,2.88453,0
GPR110,1,2.15844,0
GPR125,3,3.19244,0
GPR126,1,3.09526,0
GPR56,1,1.39607,0
GPRC5A,1,1.77129,0
GPRIN1,4,3.03901,0
GPS1,7,2.22221,0
GPSM1,2,2.14648,0
GPT2,4,2.06068,0
GPX1,3,2.76182,0
GPX4,3,7.24327,1
GPX8,1,1.78093,0
GRAMD1A,2,2.6236,0
GRB10,3,2.09172,0
GRB14,1,1.78254,0
GRB2,2,2.06336,0
GRB7,4,2.19523,0
GRHL2,1,2.41232,0
GRIN1,1,2.67236,0
GRIPAP1,2,3.5425,0
GRK5,2,20.0,2
GRK6,8,3.29701,0
GRM7,1,4.58325,1
GRPEL1,2,16.8094,2
GRPEL2,4,3.67476,0
GRSF1,8,4.51929,1
GRWD1,6,3.27519,0
GSDMD,2,6.81125,1
GSE1,1,2.4769,0
GSG2,7,4.10518,1
GSK3A,5,3.63467,0
GSK3B,4,2.28322,0
GSN,5,3.52738,0
GSPT1,7,20.0,2
GSR,2,2.57342,0
GSTCD,9,20.5634,3
GSTK1,1,2.37483,0
GSTO1,2,20.0,1
GSTO2,2,6.93564,1
GSTP1,1,4.11446,1
GSTT2,1,1.8824,0
GSTZ1,1,1.3097,0
GTDC1,2,1.66836,0
GTF2A2,2,2.82676,0
GTF2B,5,1.94065,0
GTF2E2,1,1.78783,0
GTF2H1,4,3.24363,0
GTF2H2,5,2.44407,0
GTF2H3,3,1.66979,0
GTF2I,8,2.51014,0
GTF2IRD1,4,4.65969,2
GTF3A,6,1.95027,0
GTF3C1,22,5.07999,1
GTF3C2,7,1.96956,0
GTF3C3,3,4.73069,1
GTF3C4,11,3.07628,0
GTF3C5,7,2.30067,0
GTPBP1,1,2.23087,0
GTPBP2,1,2.47346,0
GTPBP3,2,3.23414,0
GTPBP4,2,2.46552,0
GTPBP6,3,4.69527,1
GTPBP8,1,1.50401,0
GTSE1,1,20.0,1
GTSF1,5,3.75688,0
GUCD1,1,1.37345,0
GUF1,2,1.59686,0
GULP1,4,1.93237,0
GYLTL1B,1,1.66503,0
GYS1,5,3.78094,0
GZF1,2,1.91967,0
H2AFY,3,2.35089,0
H2AFY2,1,5.93499,1
H3F3A,1,2.82385,0
HABP4,2,4.11,1
HACE1,2,1.72441,0
HADHA,8,5.12117,2
HADHB,1,1.89707,0
HARS,7,3.66984,0
HAS3,1,2.44904,0
HAT1,5,2.03133,0
HAUS1,1,1.48359,0
HAUS2,2,2.06847,0
HAUS3,3,2.84717,0
HAUS4,3,3.66601,0
HAUS5,5,2.92558,0
HAUS6,9,3.46642,0
HAUS7,6,20.0,2
HAUS8,2,2.53963,0
HBS1L,5,1.88647,0
HCCS,5,4.30729,3
HCFC1,12,2.92168,0
HCFC2,2,2.94911,0
HDAC1,6,2.397,0
HDAC2,4,3.34058,0
HDAC3,7,3.15405,0
HDAC6,5,3.29468,0
HDAC7,3,3.83854,0
HDGF,2,2.85729,0
HDGFRP2,2,3.14927,0
HDHD3,1,2.23608,0
HDLBP,6,20.0,1
HEATR1,18,3.69158,0
HEATR2,12,2.5666,0
HEATR3,13,3.13322,0
HEATR5A,5,2.0388,0
HEATR5B,9,1.88937,0
HEATR6,9,3.07455,0
HECA,2,1.42234,0
HECTD1,32,7.60831,2
HECTD3,8,2.86538,0
HECTD4,5,4.35865,2
HECW1,1,2.18061,0
HELB,3,2.8827,0
HELLS,7,2.45546,0
HELZ,8,9.78145,3
HELZ2,7,3.78006,0
HERC1,10,3.90041,0
HERC2,22,2.55234,0
HERC4,9,7.0391,3
HERC5,3,2.47367,0
HERPUD1,1,1.33034,0
HEXB,2,1.73684,0
HEXIM1,2,9.61575,2
HEXIM2,2,3.98094,0
HGF,1,20.0,1
HGS,6,6.79387,1
HIBCH,3,20.0,1
HINT1,2,1.51269,0
HINT3,4,4.16352,2
HIP1,5,2.93723,0
HIP1R,5,2.36639,0
HIPK1,2,1.67829,0
HIRA,8,4.8414,1
HIRIP3,3,2.22387,0
HIST1H3A,2,2.12473,0
HIST2H3A,1,20.0,1
HJURP,4,2.58718,0
HK1,2,4.31544,1
HK2,11,3.56475,0
HLA-A,5,2.45581,0
HLA-B,2,3.63442,0
HLA-C,7,3.12396,0
HLA-E,1,1.55921,0
HLCS,1,2.36819,0
HLTF,4,2.25249,0
HMCES,5,4.54453,1
HMGB1,2,5.13272,2
HMGB2,1,3.92822,0
HMGB3,1,4.23343,1
HMGCL,5,2.82502,0
HMGCR,7,2.37377,0
HMGCS1,5,2.17827,0
HMGXB3,5,1.94451,0
HMHA1,4,1.71348,0
HMMR,4,4.98843,1
HMOX2,3,20.0,2
HN1L,1,2.0122,0
HNRNPA0,2,4.00938,1
HNRNPA1,2,2.65535,0
HNRNPA1L2,2,2.13634,0
HNRNPA2B1,1,2.51441,0
HNRNPA3,4,20.0,1
HNRNPC,1,8.13816,1
HNRNPD,1,1.60921,0
HNRNPDL,2,1.93456,0
HNRNPF,3,2.13974,0
HNRNPH1,2,3.55196,0
HNRNPH2,3,2.76894,0
HNRNPK,3,1.63803,0
HNRNPL,7,3.15895,0
HNRNPLL,6,2.34722,0
HNRNPM,3,1.85516,0
HNRNPR,6,3.25522,0
HNRNPU,12,5.6904,2
HNRNPUL1,8,2.84468,0
HNRNPUL2,7,2.51384,0
HOMEZ,1,2.44287,0
HOOK1,8,2.51811,0
HOOK2,3,2.1388,0
HOXB4,1,1.61901,0
HOXB8,2,2.42828,0
HP1BP3,2,1.72562,0
HPCA,1,2.27828,0
HPCAL4,1,1.65157,0
HPRT1,1,2.13902,0
HPS3,6,3.73053,0
HPS5,13,2.77415,0
HPS6,7,7.65105,2
HR,2,5.64738,2
HRAS,2,1.71585,0
HS2ST1,2,1.41698,0
HS6ST2,5,3.28079,0
HSD11B2,1,7.70654,1
HSD17B10,2,1.90844,0
HSD17B11,3,2.05567,0
HSD17B12,2,1.95063,0
HSD17B4,4,2.90231,0
HSD17B7,2,1.9244,0
HSD17B8,1,2.1921,0
HSDL1,4,13.7643,1
HSDL2,5,2.83481,0
HSF1,4,3.30461,0
HSP90AA1,7,4.45966,1
HSP90AB1,6,2.58253,0
HSP90B1,2,2.37397,0
HSPA12A,2,1.96789,0
HSPA14,4,5.60439,1
HSPA1A,2,2.9604,0
HSPA4,9,8.03018,1
HSPA4L,7,6.89291,1
HSPA5,1,5.55202,1
HSPA8,3,3.66278,0
HSPA9,4,2.09565,0
HSPBP1,8,3.68957,0
HSPD1,3,2.72547,0
HSPH1,12,3.34961,0
HTATIP2,3,2.37524,0
HTATSF1,7,3.64566,0
HTT,5,3.97388,0
HUS1,2,1.85487,0
HUWE1,27,6.57328,5
HYAL2,4,10.9887,2
HYOU1,1,1.94571,0
IAH1,2,6.00239,2
IARS,13,7.58746,3
IARS2,5,2.59812,0
IBA57,2,2.71347,0
IBTK,5,2.07309,0
ICA1,2,2.31274,0
ICT1,1,3.33238,0
ID1,3,3.20121,0
IDE,3,2.91547,0
IDH1,3,18.4905,1
IDH2,2,2.03613,0
IDH3A,4,2.79933,0
IDH3B,3,1.87719,0
IDH3G,2,2.19031,0
IDI1,5,2.64587,0
IER2,2,1.87779,0
IER5L,2,7.85665,2
IFI30,2,1.96957,0
IFI35,1,1.97411,0
IFIH1,3,2.04003,0
IFIT5,3,5.67287,1
IFRD1,1,1.46933,0
IFRG15,2,1.88784,0
IFT122,7,2.68129,0
IFT140,2,1.89412,0
IFT27,1,1.54781,0
IFT80,1,3.56155,0
IFT81,1,2.48916,0
IGF1R,1,2.59011,0
IGF2BP2,1,1.25382,0
IGF2BP3,4,6.66148,1
IGF2R,13,20.0,1
IGFBP2,5,5.84403,1
IGFBP3,2,6.58687,2
IGHMBP2,3,3.43038,0
IK,1,2.19574,0
IKBKAP,13,3.96895,0
IKBKB,6,2.49724,0
IKBKG,5,9.99189,3
IKZF5,2,1.83082,0
IL18,1,4.16148,1
IL1RAP,1,1.6517,0
ILF2,4,3.17427,0
ILF3,6,3.64935,0
ILK,5,2.19617,0
ILKAP,5,3.64991,0
ILVBL,3,2.95643,0
IMMT,1,1.64879,0
IMP3,2,4.28187,2
IMPA1,4,2.62241,0
IMPA2,3,3.21365,0
IMPACT,2,2.61292,0
IMPDH1,5,5.12974,1
IMPDH2,10,9.13905,1
INADL,3,2.11496,0
INCENP,2,2.64091,0
INF2,9,3.43141,0
ING1,1,2.15916,0
ING3,1,3.01056,0
INO80,5,2.46368,0
INO80B,4,2.04252,0
INPP4A,10,4.1731,1
INPP4B,3,4.44387,1
INPP5A,1,1.85544,0
INPP5B,3,2.05514,0
INPP5E,4,2.3346,0
INPP5F,5,2.02629,0
INPP5K,2,2.16717,0
INPPL1,3,2.66081,0
INSR,2,1.49012,0
INTS1,18,3.54681,0
INTS10,3,4.38512,1
INTS12,1,3.30062,0
INTS2,7,2.15835,0
INTS3,7,2.66744,0
INTS4,6,2.76076,0
INTS5,6,2.64099,0
INTS6,5,1.92013,0
INTS7,9,2.29209,0
INTS8,7,1.83704,0
INTS9,5,6.08419,1
IP6K1,4,4.14261,2
IP6K2,3,4.11119,1
IPO11,5,2.02023,0
IPO13,4,2.64271,0
IPO4,15,3.04449,0
IPO5,16,3.4323,0
IPO7,10,3.09345,0
IPO8,4,2.17219,0
IPO9,7,3.22809,0
IPP,2,3.10424,0
IPPK,4,2.73041,0
IQGAP1,6,2.46737,0
IQGAP3,5,3.47495,0
IQSEC1,4,3.96024,0
IQSEC2,6,4.44182,2
IRAK1,6,3.1359,0
IRAK4,2,2.35208,0
IREB2,5,3.98847,0
IRF2BP1,6,3.70201,0
IRF2BP2,2,2.62222,0
IRF2BPL,9,2.50946,0
IRF3,3,3.11119,0
IRF6,1,1.28,0
IRGQ,2,3.64686,0
IRS1,7,6.70354,2
IRS2,6,2.07883,0
ISCA1,1,1.94903,0
ISCA2,3,2.56184,0
ISCU,3,2.2502,0
ISG15,1,1.51081,0
ISG20L2,1,1.9914,0
IST1,1,1.50747,0
ISYNA1,2,3.63517,0
ITCH,3,2.42342,0
ITFG1,2,2.11065,0
ITGA2,3,2.04525,0
ITGA3,4,2.12527,0
ITGA6,8,20.0,1
ITGAV,2,2.01808,0
ITGB1,9,11.7173,1
ITGB1BP1,1,2.75957,0
ITGB4,24,20.0,5
ITGB5,6,4.42697,1
ITM2B,1,1.76803,0
ITM2C,1,3.328,0
ITPA,6,2.08583,0
ITPK1,7,2.59852,0
ITPKA,1,2.55412,0
ITPKC,4,6.66763,2
ITPR1,6,2.7445,0
ITPR3,16,2.59421,0
ITPRIP,5,2.49696,0
ITPRIPL1,2,1.57682,0
ITPRIPL2,3,3.3326,0
ITSN2,2,2.1525,0
IVD,4,2.3928,0
IVNS1ABP,11,2.80876,0
IWS1,1,1.50104,0
JADE1,2,1.83922,0
JADE2,1,1.5479,0
JADE3,7,2.33173,0
JAG1,2,2.63017,0
JAG2,18,20.0,3
JAK1,7,6.49493,2
JAK2,3,2.69285,0
JARID2,4,4.10207,1
JMJD1C,4,3.26661,0
JMJD6,4,20.0,2
JMY,2,2.73234,0
JOSD1,1,1.52006,0
JPH1,3,4.96391,1
JRK,1,1.64473,0
KANK1,5,1.94169,0
KANK2,5,17.7276,4
KANSL1,1,2.48854,0
KANSL3,3,20.0,1
KARS,4,2.0712,0
KAT2A,3,2.1751,0
KAT5,1,1.74944,0
KAT6A,1,1.96588,0
KAT6B,10,2.0746,0
KAT7,3,1.89729,0
KAT8,6,2.29319,0
KATNA1,3,2.94605,0
KATNAL1,2,2.19577,0
KATNAL2,1,1.43443,0
KATNB1,5,2.81561,0
KATNBL1,1,1.99276,0
KAZN,1,2.52902,0
KBTBD11,2,1.92444,0
KBTBD2,2,3.97952,0
KBTBD4,1,2.41035,0
KBTBD6,4,3.74498,0
KBTBD8,1,2.13389,0
KCMF1,6,4.09616,1
KCNK1,2,1.87172,0
KCTD1,2,2.66513,0
KCTD10,1,1.91146,0
KCTD20,1,2.11598,0
KCTD3,2,6.01714,1
KCTD5,2,6.88149,1
KCTD9,3,2.20747,0
KDELC1,2,2.6125,0
KDELC2,3,1.81133,0
KDELR1,2,2.17,0
KDELR2,1,1.93521,0
KDM1A,8,2.4815,0
KDM1B,9,3.58512,0
KDM2A,15,20.0,1
KDM2B,4,1.77032,0
KDM3A,13,3.8797,0
KDM3B,16,3.3594,0
KDM4A,7,1.99004,0
KDM4B,5,2.24196,0
KDM4C,1,1.3801,0
KDM5A,5,2.29256,0
KDM5B,1,1.85722,0
KDM5C,5,2.58908,0
KDM6A,2,3.54614,0
KDM8,1,1.84558,0
KDSR,2,2.36729,0
KEAP1,18,20.0,7
KHNYN,3,2.377,0
KHSRP,3,2.38885,0
KIAA0020,2,1.93156,0
KIAA0100,5,3.17765,0
KIAA0101,2,2.5853,0
KIAA0196,6,20.0,1
KIAA0226,3,1.67046,0
KIAA0355,6,2.56521,0
KIAA0391,7,3.33828,0
KIAA0430,6,2.42583,0
KIAA0513,1,2.08494,0
KIAA0753,2,2.812,0
KIAA0754,3,4.21991,1
KIAA0907,1,1.86082,0
KIAA0922,2,2.14151,0
KIAA0930,4,3.54484,0
KIAA0947,5,3.32331,0
KIAA1033,2,2.22639,0
KIAA1107,2,1.51179,0
KIAA1279,3,1.64127,0
KIAA1429,9,3.70156,0
KIAA1430,1,3.41082,0
KIAA1432,2,1.86084,0
KIAA1468,7,2.10005,0
KIAA1522,2,4.09168,1
KIAA1524,10,5.88234,1
KIAA1551,6,2.37812,0
KIAA1586,1,2.49694,0
KIAA1598,6,8.66766,2
KIAA1671,6,20.0,2
KIAA1958,2,1.69263,0
KIAA2013,1,1.84694,0
KIDINS220,5,3.79493,0
KIF11,7,2.74485,0
KIF13A,3,2.11069,0
KIF14,9,20.0,2
KIF15,5,3.10075,0
KIF18A,5,2.6833,0
KIF18B,1,1.67163,0
KIF1B,7,3.35465,0
KIF1C,5,2.67991,0
KIF20A,11,3.52985,0
KIF20B,4,2.01069,0
KIF21A,10,3.94464,0
KIF22,3,2.78683,0
KIF23,11,2.51288,0
KIF2A,6,2.51405,0
KIF2C,8,2.1357,0
KIF3A,2,2.94794,0
KIF4A,12,4.47168,1
KIF5B,7,3.47899,0
KIFAP3,1,1.60222,0
KIFC1,7,2.84944,0
KIN,1,5.57211,1
KLC1,6,5.12135,1
KLC2,2,2.05884,0
KLC3,2,4.32019,1
KLF16,3,2.94933,0
KLF6,1,1.53708,0
KLHDC3,3,2.61406,0
KLHDC4,1,1.93707,0
KLHL11,2,2.02712,0
KLHL12,3,2.34739,0
KLHL13,1,2.14369,0
KLHL20,2,3.38392,0
KLHL21,1,1.43382,0
KLHL22,1,1.40892,0
KLHL23,1,3.60018,0
KLHL26,6,2.8642,0
KLHL36,5,3.51346,0
KLHL7,1,1.10162,0
KLHL8,2,1.73446,0
KLHL9,2,1.43017,0
KMT2A,20,9.89032,2
KMT2D,14,4.67865,1
KMT2E,1,20.0,1
KNOP1,3,2.86576,0
KNSTRN,2,2.73735,0
KNTC1,8,6.02947,2
KPNA1,7,2.53919,0
KPNA2,5,2.42145,0
KPNA3,4,2.74918,0
KPNA4,5,2.41418,0
KPNA5,2,2.23213,0
KPNA6,8,3.06861,0
KPNB1,10,3.01343,0
KRI1,2,2.91146,0
KRIT1,1,9.23432,1
KRR1,3,2.34118,0
KRTAP2-3,5,2.68658,0
KRTCAP3,2,1.89299,0
KSR1,3,2.26644,0
KTI12,3,2.76081,0
KTN1,1,2.77349,0
L1RE1,1,1.82233,0
L2HGDH,6,2.43788,0
L3MBTL2,7,2.61277,0
L3MBTL3,4,5.01822,1
LACTB,1,2.06596,0
LACTB2,2,2.08381,0
LAD1,1,1.89384,0
LAMA5,2,3.04764,0
LAMB1,4,3.0823,0
LAMB2,1,1.85631,0
LAMB3,5,3.44766,0
LAMC1,4,2.29956,0
LAMC2,3,1.75519,0
LAMP1,1,2.08838,0
LAMTOR2,1,1.39377,0
LAMTOR3,1,2.2813,0
LAMTOR5,2,2.22043,0
LANCL2,5,2.15574,0
LAP3,4,3.10806,0
LARP1,3,3.34769,0
LARP1B,2,3.29051,0
LARP4,6,3.1732,0
LARP4B,8,20.0,1
LARP7,1,2.18275,0
LARS,15,2.9175,0
LARS2,5,3.27723,0
LAS1L,13,8.64754,1
LASP1,4,2.63164,0
LATS1,2,2.29514,0
LCHN,1,2.67238,0
LCLAT1,2,1.47805,0
LCMT1,9,15.6384,4
LCMT2,1,2.82188,0
LCORL,2,2.68855,0
LDB1,1,1.78848,0
LDHA,2,3.18491,0
LDHB,1,1.56988,0
LDLR,13,3.27072,0
LDLRAP1,1,1.66667,0
LECT1,3,1.95853,0
LEMD2,2,1.92049,0
LEMD3,10,3.32927,0
LENG8,4,2.40756,0
LEPRE1,1,2.64311,0
LEPREL2,3,2.1136,0
LEPREL4,3,2.93944,0
LEPROT,1,2.35538,0
LETM1,3,2.43287,0
LGALS1,2,3.60386,0
LGALS3,1,2.40551,0
LGALS3BP,1,2.05859,0
LGALSL,1,2.89034,0
LGMN,2,2.40007,0
LIG1,7,5.78474,1
LIG3,5,20.0,2
LIG4,5,2.28738,0
LIMA1,6,3.48217,0
LIMD1,1,2.53619,0
LIME1,2,2.36529,0
LIMK1,7,3.6832,0
LIMK2,5,2.72701,0
LIMS1,18,4.92547,3
LIN54,2,2.30886,0
LIN7C,1,1.92691,0
LIN9,1,1.96067,0
LIPE,3,3.2176,0
LLGL1,6,12.5964,1
LLGL2,5,2.50455,0
LMAN1,1,2.81197,0
LMAN2,2,1.75731,0
LMBRD1,2,2.30547,0
LMF2,2,7.37457,1
LMLN,2,1.91052,0
LMNA,3,3.57493,0
LMNB1,1,1.98337,0
LMNB2,1,5.45058,1
LMO7,3,2.06016,0
LNP,1,6.93845,1
LOH12CR1,1,1.52281,0
LONP1,3,2.03366,0
LONP2,2,2.07557,0
LPA,1,5.23505,1
LPCAT1,4,1.64379,0
LPCAT2,1,1.85005,0
LPCAT3,1,1.6185,0
LPCAT4,2,1.48744,0
LPIN3,2,1.94784,0
LPP,6,2.68671,0
LRBA,16,3.72998,0
LRCH1,5,2.53739,0
LRCH3,4,2.20053,0
LRCH4,3,1.87373,0
LRIF1,3,2.68357,0
LRIG2,2,2.43249,0
LRIG3,2,2.06636,0
LRP10,1,2.09778,0
LRP5,2,2.60461,0
LRP8,1,2.54498,0
LRPPRC,16,2.78258,0
LRR1,3,2.16332,0
LRRC1,2,1.73563,0
LRRC14,3,1.51665,0
LRRC16A,6,4.08156,1
LRRC40,4,2.63211,0
LRRC41,7,3.32047,0
LRRC42,10,3.08787,0
LRRC47,4,2.69578,0
LRRC57,2,2.56157,0
LRRC58,3,2.38263,0
LRRC59,4,1.75696,0
LRRC8A,4,1.70944,0
LRRFIP1,7,4.6529,3
LRSAM1,8,3.54685,0
LRWD1,13,3.04091,0
LSG1,9,3.10869,0
LSM12,1,1.95798,0
LSM14A,4,3.89232,0
LSM14B,1,2.59052,0
LSM4,2,1.89996,0
LSM7,1,1.76702,0
LSMD1,4,4.90049,1
LSR,1,2.09841,0
LSS,4,3.748,0
LTBP3,2,2.61611,0
LTBP4,6,2.22436,0
LTBR,5,3.271,0
LTF,1,2.09117,0
LTV1,2,1.93501,0
LUC7L,3,2.23233,0
LUC7L3,6,4.97795,1
LUZP1,6,3.19509,0
LYAR,5,2.58225,0
LYN,1,2.31611,0
LYPLA1,2,1.89603,0
LYPLA2,2,1.94785,0
LYPLAL1,1,1.87098,0
LYRM7,1,2.86207,0
LYSMD2,1,3.98197,0
LZTFL1,1,1.74539,0
LZTR1,2,1.83632,0
LZTS2,3,3.53619,0
M6PR,1,1.97405,0
MACC1,2,1.38392,0
MACF1,20,3.02953,0
MACROD1,4,13.3365,1
MAD1L1,3,3.07793,0
MAD2L1,1,1.52205,0
MAD2L1BP,2,2.75258,0
MAD2L2,2,3.14858,0
MADD,2,5.08417,1
MAEA,6,3.08651,0
MAF1,1,1.83766,0
MAFF,2,3.35593,0
MAGEA2,2,1.93559,0
MAGEB2,1,2.82878,0
MAGED1,1,1.68419,0
MAGED2,1,2.41237,0
MAGI1,1,2.26046,0
MAGI3,1,1.86429,0
MAGOHB,1,2.17833,0
MAK16,2,2.08944,0
MALT1,9,2.65297,0
MAML1,1,1.79778,0
MAN1A1,1,1.61578,0
MAN2A1,3,1.40649,0
MAN2B2,2,1.88457,0
MAN2C1,2,2.02989,0
MANBA,1,1.93283,0
MANF,1,1.64344,0
MAOA,1,1.51287,0
MAOB,2,1.68465,0
MAP1A,3,1.82718,0
MAP1B,4,2.80951,0
MAP1S,7,4.52191,2
MAP2K1,1,2.52382,0
MAP2K2,2,2.91951,0
MAP2K3,5,4.03789,1
MAP2K4,6,5.97132,1
MAP2K5,1,1.58091,0
MAP2K7,3,6.54253,1
MAP3K1,1,2.1412,0
MAP3K2,2,2.49365,0
MAP3K3,2,2.28161,0
MAP3K4,6,3.15903,0
MAP3K5,2,1.49819,0
MAP3K6,1,8.28523,1
MAP3K7,5,4.23603,1
MAP4,4,3.19919,0
MAP4K2,4,2.99852,0
MAP4K3,3,2.8,0
MAP4K4,4,2.61275,0
MAP7D1,3,20.0,1
MAP7D3,3,2.14158,0
MAPK1,4,3.50406,0
MAPK10,1,1.91809,0
MAPK14,2,2.72711,0
MAPK9,2,2.30645,0
MAPKAP1,1,2.12356,0
MAPKAPK2,1,1.94496,0
MAPKAPK3,3,5.87688,1
MAPRE1,3,2.0175,0
MAPRE3,1,1.4717,0
MAPT,1,1.59894,0
MARCH5,5,4.0,2
MARCH6,4,3.74535,0
MARCH7,8,3.86859,0
MARCKSL1,1,3.97846,0
MARK1,3,2.22831,0
MARK3,2,3.25754,0
MARS,7,3.20032,0
MARS2,8,5.87463,1
MARVELD2,2,2.12789,0
MAST2,1,2.25616,0
MAST3,1,2.7607,0
MASTL,1,2.61517,0
MAT2A,4,2.17547,0
MAT2B,1,1.66939,0
MATR3,4,1.88501,0
MAU2,4,1.83804,0
MAVS,1,2.234,0
MAZ,3,2.29251,0
MBD1,1,1.80855,0
MBD2,1,1.96512,0
MBD3,1,1.91314,0
MBD4,5,2.62001,0
MBIP,3,4.3573,2
MBNL1,5,10.1947,2
MBOAT7,3,1.57191,0
MBTD1,3,1.81695,0
MCAT,5,3.38944,0
MCC,2,1.99109,0
MCCC1,4,1.72923,0
MCCC2,5,16.5392,3
MCF2L,4,1.82696,0
MCM10,2,1.74484,0
MCM2,9,2.48535,0
MCM3,9,3.26576,0
MCM3AP,13,2.88465,0
MCM4,6,2.47697,0
MCM5,7,2.55676,0
MCM6,12,3.50221,0
MCM7,4,2.07538,0
MCM8,4,3.54462,0
MCM9,1,1.76027,0
MCMBP,10,3.72141,0
MCOLN1,1,1.8363,0
MCOLN3,1,1.1886,0
MCPH1,2,1.80258,0
MCRS1,2,2.67858,0
MCTS1,2,1.91142,0
MDC1,4,3.66525,0
MDH1,3,2.4745,0
MDH2,3,2.06211,0
MDM2,5,3.60508,0
MDM4,1,2.04066,0
MDN1,41,4.06465,1
ME1,3,1.94099,0
ME2,4,1.94538,0
MECR,1,1.94367,0
MED1,3,2.2045,0
MED12,15,3.70303,0
MED13,17,4.10101,2
MED13L,15,3.80798,0
MED14,9,4.53366,1
MED15,3,2.46766,0
MED16,12,2.83607,0
MED17,4,2.06868,0
MED19,2,2.75337,0
MED20,1,1.95177,0
