gene,n_sites,max_cr,n_engaged
BCKDHA,2,2.12218,0
BCKDHB,2,2.26255,0
BCKDK,1,1.79892,0
BCL10,3,3.71298,0
BCL2L12,3,2.43411,0
BCL2L2,3,20.0,1
BCLAF1,1,7.91635,1
BCR,3,3.50921,0
BCS1L,2,2.23999,0
BDH1,4,2.10917,0
BECN1,1,1.62918,0
BEGAIN,2,2.46821,0
BEND3,6,20.0,1
BFAR,2,1.32707,0
BICD2,1,3.51723,0
BIN1,1,2.66335,0
BIRC2,3,15.448,1
BIRC5,2,2.47868,0
BIRC6,32,10.6116,4
BLM,11,3.82069,0
BLMH,2,5.26752,1
BLOC1S2,1,2.65198,0
BLOC1S3,2,4.49365,1
BLOC1S5,1,5.53362,1
BLVRA,1,2.0039,0
BMP2K,4,2.20901,0
BMS1,5,5.9974,1
BNIP2,1,1.53749,0
BOD1L1,6,4.19976,1
BOK,1,1.77894,0
BOLA1,2,4.28817,2
BOLA2,1,1.24375,0
BOLA3,1,9.7772,1
BOP1,7,7.03036,1
BPGM,1,2.07078,0
BPNT1,6,4.09143,1
BPTF,11,5.08086,1
BRAF,2,1.43583,0
BRAP,10,20.0,1
BRAT1,20,11.678,3
BRCA1,11,2.91317,0
BRCA2,3,1.95782,0
BRCC3,2,1.87623,0
BRD1,12,2.8427,0
BRD2,1,2.11755,0
BRD4,3,2.03578,0
BRD7,4,20.0,1
BRE,4,2.44172,0
BRF1,5,7.84416,2
BRF2,1,2.07092,0
BRIP1,10,2.66748,0
BRIX1,4,2.46111,0
BRK1,1,1.30138,0
BRMS1,2,2.13913,0
BRPF1,7,2.58753,0
BRPF3,2,1.90382,0
BRSK2,2,2.03797,0
BRWD1,2,2.55413,0
BSPRY,3,1.92103,0
BTAF1,19,20.0,3
BTBD1,2,2.41347,0
BTBD10,1,2.3843,0
BTBD11,4,4.08112,1
BTBD2,1,1.90749,0
BTBD8,4,2.89673,0
BTBD9,1,1.26505,0
BTF3,1,2.65631,0
BTG2,1,2.22657,0
BTG3,2,2.19476,0
BTRC,9,2.76069,0
BUB1,14,4.52489,2
BUB1B,12,15.3391,1
BUB3,3,20.0,2
BUD31,8,2.36983,0
BYSL,3,2.29346,0
BZW1,2,2.03562,0
BZW2,3,2.10522,0
C10orf118,3,1.9825,0
C10orf76,3,2.20427,0
C10orf88,3,1.98462,0
C11orf54,1,1.96119,0
C11orf68,3,3.67988,0
C11orf73,1,1.82089,0
C11orf84,1,2.35763,0
C12orf10,2,1.98244,0
C12orf29,7,10.581,1
